land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,large_living_room,parking_space,front_garden,swimming_pool,wall_fence,room_size,property_value
195,187,4,3,1,1,1,1,1,1,192284
116,100,1,1,0,0,0,0,0,0,76826
239,205,4,5,1,1,0,1,0,1,192173
234,221,3,3,1,0,1,0,1,1,186721
269,259,4,4,1,1,1,1,1,0,222170
156,142,3,1,0,1,1,0,1,0,143898
308,265,5,3,1,1,1,1,1,1,282973
216,211,4,5,1,1,1,1,0,1,184876
413,379,6,4,1,1,1,1,1,1,339498
103,102,1,2,1,0,0,0,0,0,87402
226,201,3,3,0,0,0,0,1,1,159508
224,210,4,2,0,1,0,0,1,0,163962
299,278,5,3,1,1,1,1,1,1,246565
182,177,2,2,0,0,0,1,0,1,155549
352,307,5,2,1,1,1,1,1,1,288480
239,213,3,2,1,1,1,0,1,0,191668
218,210,3,3,0,0,0,1,1,1,181747
469,427,6,6,1,1,1,1,0,1,363589
168,163,2,2,0,0,0,0,0,2,128495
146,128,2,3,0,1,1,0,0,2,115748
218,211,4,5,1,1,0,1,1,1,181704
286,259,4,5,1,1,1,1,0,0,219835
196,172,4,3,1,1,1,0,0,0,149434
199,189,4,2,1,1,1,1,1,0,182669
258,241,4,4,1,1,0,0,1,1,200244
298,282,5,4,1,1,1,1,0,0,222028
351,302,5,3,1,1,0,1,1,0,273884
331,295,5,3,1,1,1,1,1,1,280459
707,706,8,8,1,1,1,1,1,3,633937
131,114,1,1,1,0,0,0,0,0,96597
111,100,1,1,1,1,1,0,0,1,91143
339,319,5,3,1,1,1,1,1,0,278842
351,349,5,4,1,0,1,1,1,0,278214
575,510,7,5,1,1,1,1,1,2,481957
199,190,3,1,1,0,0,0,1,0,154835
335,301,5,5,1,1,1,1,1,0,287783
564,550,7,5,1,1,1,1,1,0,462835
188,184,2,1,1,0,0,1,0,2,166690
201,199,3,1,1,0,0,0,1,1,157217
282,242,5,3,0,1,1,1,1,1,258670
208,195,3,4,1,0,0,0,1,1,168724
328,313,5,5,1,1,1,1,0,0,240075
339,306,5,3,0,1,1,1,1,0,278212
178,176,2,1,1,0,1,0,1,1,143234
172,170,2,3,0,0,0,0,0,2,130053
235,228,3,2,1,1,0,0,1,0,190146
213,198,3,1,0,1,0,1,0,0,152609
294,285,5,5,1,1,1,1,1,1,258997
106,103,1,1,1,0,0,0,0,1,89107
526,458,7,8,1,1,1,1,1,2,434971
237,222,3,3,1,1,1,0,0,1,194061
125,116,2,3,0,1,0,1,0,2,115975
251,219,4,4,1,1,1,1,1,1,221823
220,199,4,5,1,1,1,0,0,1,168480
347,326,5,5,1,1,1,1,1,0,316226
352,315,6,5,1,1,1,1,1,1,299973
213,198,4,2,1,1,1,1,1,1,191361
240,204,4,4,0,1,0,1,0,0,169989
287,248,5,4,1,1,0,1,1,0,241830
218,192,3,1,1,1,0,1,1,1,188191
295,276,4,5,1,1,1,0,1,0,224761
269,232,4,5,1,1,1,1,1,1,237263
732,670,8,8,1,1,1,1,1,2,616074
292,260,4,5,1,1,1,1,0,1,223110
326,300,5,4,1,1,1,0,1,0,260625
302,298,5,5,1,1,1,1,1,1,258224
237,218,3,3,0,1,0,0,1,1,181262
462,432,7,6,1,1,1,1,1,2,376138
121,116,1,2,0,0,1,0,0,1,83596
290,286,4,2,1,1,0,1,1,0,248198
170,169,3,4,1,0,0,0,0,0,119513
171,165,3,2,1,1,0,1,0,1,133973
284,277,4,2,1,1,1,1,1,0,247026
219,191,4,2,1,1,0,1,1,0,195210
270,259,4,2,0,1,1,1,1,0,236517
126,118,1,1,0,1,0,0,0,0,86108
311,293,5,3,1,1,1,1,1,0,248858
228,197,4,2,1,1,1,1,1,1,226934
195,194,4,3,1,1,1,1,1,0,173061
150,148,2,3,0,0,0,0,0,1,102931
189,172,2,1,1,1,0,0,1,0,142666
297,274,4,2,0,1,0,1,1,0,234742
254,241,4,2,1,1,1,1,1,0,215166
105,103,1,2,1,0,0,0,0,1,74578
326,318,5,4,1,1,1,1,1,1,271447
233,231,5,5,1,1,1,1,1,1,203147
346,329,5,5,1,1,1,1,1,0,298067
184,157,3,2,1,0,1,0,1,0,156989
167,167,3,1,1,0,0,1,1,1,153839
221,196,4,4,1,1,1,1,0,1,193115
257,256,4,3,1,0,0,1,1,0,204217
139,120,2,2,0,0,0,0,0,1,95329
404,387,6,6,1,1,1,1,1,1,331662
181,175,2,1,1,1,1,0,0,1,140138
284,276,4,5,1,1,1,0,0,1,204294
249,244,5,5,1,1,1,0,1,1,205757
309,304,5,4,1,0,1,0,1,1,236765
158,137,3,2,1,1,0,0,1,0,121941
215,191,3,2,1,0,0,0,0,0,155454
327,280,5,3,1,1,1,0,1,0,319955
301,261,4,2,1,1,1,1,0,1,246785
194,191,4,5,0,0,0,1,1,0,157193
285,272,4,3,1,1,0,0,1,1,224534
147,135,2,2,0,1,0,0,0,2,106071
222,210,3,1,0,1,0,0,1,0,185050
102,97,1,1,0,0,0,0,0,0,81705
119,102,1,1,0,1,0,0,0,1,91617
287,251,4,5,1,1,1,1,1,1,251878
594,558,7,7,1,1,1,1,1,1,485251
273,259,4,5,1,1,1,1,1,1,239005
323,310,6,4,1,1,1,1,1,0,280732
209,207,3,3,0,0,0,0,0,1,146659
321,308,5,5,1,1,1,1,1,1,261140
315,277,5,2,1,1,1,1,1,1,277487
201,187,4,5,1,1,1,1,1,1,177838
276,265,4,2,1,1,1,0,1,1,218677
204,195,3,3,1,1,0,1,1,0,179334
200,198,4,5,1,1,0,1,0,0,149213
282,280,4,4,1,0,1,0,1,1,218357
262,261,5,3,1,1,1,1,1,1,242608
200,193,3,4,1,1,1,0,1,1,167090
389,356,6,6,1,1,1,1,1,0,311121
350,345,6,7,1,1,1,1,1,0,302476
291,252,5,5,1,1,1,1,1,1,244099
304,299,5,3,1,0,1,1,1,1,269943
245,237,5,3,1,1,1,1,1,0,207175
247,229,4,2,1,1,0,1,1,0,204491
236,212,4,2,0,1,1,0,1,1,226527
304,266,4,2,1,1,0,1,1,0,259447
150,146,1,2,1,0,0,0,0,1,107623
302,279,4,4,1,1,1,1,1,1,255877
289,267,4,4,1,1,1,1,1,0,253564
120,103,1,1,0,1,0,0,0,1,94746
126,119,2,1,0,1,0,1,0,2,119907
223,221,4,2,1,0,0,1,0,0,171645
238,228,4,5,0,1,0,1,1,1,209202
451,411,6,6,1,1,1,1,1,0,378002
102,89,1,2,0,1,1,0,0,1,97490
281,257,4,5,1,1,1,1,1,0,251810
275,234,4,2,1,1,0,1,0,0,203732
213,182,3,4,1,1,1,0,1,0,182073
279,268,4,5,1,1,1,1,1,1,256259
100,92,1,1,1,1,0,0,0,0,72429
164,153,3,3,1,1,1,0,1,0,136052
243,208,5,3,1,1,1,1,1,1,240139
129,126,1,2,0,0,0,0,0,0,86600
121,111,2,1,1,1,1,0,0,2,92962
192,168,4,2,1,1,1,1,1,1,165594
202,193,3,3,0,0,1,0,0,1,163867
270,245,4,5,1,1,1,0,1,1,230019
155,151,2,3,0,0,0,0,0,0,107775
256,253,4,3,1,1,0,1,1,0,218635
326,318,5,4,1,1,1,1,1,0,266852
371,334,6,6,1,1,1,1,1,1,299188
210,182,4,4,1,1,1,1,0,0,184745
185,184,2,1,0,0,0,0,0,1,123228
158,137,3,4,0,0,0,1,1,1,123849
126,118,1,2,0,0,0,0,0,1,93285
214,187,4,5,0,1,1,1,1,1,198485
133,131,2,3,1,0,0,0,0,2,91774
294,263,4,3,1,1,1,1,0,0,240268
275,237,4,2,1,1,1,1,1,1,252453
347,347,5,3,1,0,1,1,1,0,280575
186,166,3,1,0,0,0,0,0,0,120711
335,288,5,2,1,1,1,1,1,1,301216
488,474,7,5,1,1,0,1,1,3,391633
236,225,3,2,1,1,0,0,0,0,162387
230,219,3,1,0,1,0,0,1,1,176992
210,188,3,1,1,1,1,0,0,0,156943
507,507,7,7,1,1,1,1,1,2,412984
126,125,2,1,0,0,0,0,1,2,105075
279,252,4,5,1,1,1,1,1,1,243798
349,344,5,2,1,0,1,1,1,0,270197
230,208,5,3,1,1,1,1,1,1,205747
279,266,4,2,1,1,1,1,1,1,250027
183,181,2,2,0,0,0,1,0,0,150339
229,209,3,1,1,1,0,0,0,1,158692
220,220,4,4,1,1,1,1,1,1,213757
225,218,3,1,0,1,0,1,0,1,187490
220,208,3,4,0,0,1,0,0,0,147799
141,129,1,2,0,1,0,0,0,1,110770
300,300,4,4,0,0,1,1,0,0,214089
295,256,5,5,1,1,1,1,1,1,257101
258,252,4,2,1,1,1,1,1,1,231531
232,227,3,4,1,0,0,0,1,1,180936
211,210,4,3,1,1,1,1,1,0,200912
213,208,4,3,1,1,1,1,1,1,203087
228,221,4,5,1,1,0,1,1,0,190587
123,107,1,1,0,0,0,0,0,0,74588
219,208,3,4,0,1,0,0,1,1,160441
206,197,3,2,1,0,1,0,1,1,168807
278,251,4,2,1,1,1,1,0,1,224582
306,262,4,5,1,1,0,1,1,1,250645
232,217,3,4,0,1,1,0,1,0,181021
235,214,3,1,0,0,1,0,0,0,177385
264,245,4,2,1,1,1,1,1,1,225428
159,151,3,3,1,1,0,0,1,1,134211
116,111,1,2,0,0,0,0,1,1,95184
203,192,4,5,1,1,0,1,1,1,188579
212,192,4,3,1,1,1,0,1,0,177919
232,220,3,2,0,1,1,0,0,1,165869
144,127,2,2,0,1,0,0,0,1,105738
216,211,3,4,1,0,0,1,0,0,162384
178,178,3,1,0,0,0,1,1,1,149631
221,193,3,2,1,0,0,0,1,1,173453
277,248,4,3,1,1,1,0,1,0,232985
293,290,5,5,0,1,0,1,1,1,250231
223,211,3,2,1,1,0,0,0,1,158486
208,178,4,2,1,1,1,1,1,0,199055
281,246,4,3,1,1,1,0,1,0,217036
235,205,5,2,1,1,1,1,1,0,206962
137,137,1,1,1,0,0,0,0,0,89735
267,266,4,2,1,0,1,1,1,0,211921
246,216,4,3,1,1,1,1,1,1,227213
212,209,3,2,1,0,0,0,0,0,144360
196,181,4,3,0,1,1,0,0,0,148155
258,244,5,5,1,1,1,1,1,1,234734
217,193,4,3,1,1,0,1,0,0,165913
309,282,4,4,1,1,0,1,1,1,269363
230,201,3,4,0,1,0,0,1,0,177883
274,248,5,5,1,1,1,1,1,0,243876
161,161,3,4,1,0,0,1,1,0,145070
306,302,5,4,1,1,1,1,1,1,251294
111,111,1,2,1,0,0,0,0,0,85197
157,155,2,1,1,0,0,1,0,2,130667
131,113,2,3,0,0,0,1,0,2,110035
123,113,2,2,0,1,0,0,0,1,89665
190,189,4,5,1,1,1,1,1,0,174947
266,242,4,3,1,1,1,0,1,0,218217
200,193,4,4,0,1,1,1,1,0,183451
258,258,5,2,1,1,1,1,0,0,199685
471,403,8,8,1,1,1,1,1,3,392630
207,190,3,2,0,0,1,0,1,0,148489
251,244,4,4,1,1,0,1,1,0,219204
242,234,4,3,0,1,1,1,1,1,223734
354,305,5,2,1,1,1,1,1,1,281686
293,274,5,5,1,1,1,1,1,1,280413
165,164,3,2,0,0,1,0,1,0,144414
145,136,2,2,1,1,0,0,0,0,103089
216,205,4,3,1,1,1,1,1,1,190030
192,185,4,3,0,1,1,1,1,1,169506
238,210,5,3,1,1,1,1,1,1,211673
169,145,3,4,1,0,0,1,1,1,153349
113,107,1,1,0,1,0,1,0,0,97920
215,197,3,4,1,1,1,0,0,1,171471
258,256,5,3,1,0,1,1,1,0,208112
285,272,5,2,1,1,1,1,1,1,240336
165,155,3,3,0,0,0,1,1,0,135725
278,262,4,2,1,1,1,1,1,1,240832
129,111,1,1,0,0,0,0,0,0,94593
201,201,4,5,1,0,1,1,1,0,174635
287,284,5,5,1,0,1,1,1,0,237630
191,186,3,1,1,0,0,0,1,1,173289
166,152,2,1,0,0,0,1,0,0,129806
178,163,2,2,0,1,0,1,0,2,146506
169,156,3,2,1,1,0,0,1,1,142197
232,200,3,3,0,1,0,0,0,0,157665
314,304,5,2,0,1,1,0,1,0,237665
288,254,4,3,1,1,1,1,1,0,249382
340,290,5,3,1,1,1,1,1,0,290142
188,186,3,4,1,0,0,1,0,1,146608
206,189,3,4,0,1,0,0,1,1,159464
209,207,4,2,1,1,1,1,1,0,177342
172,148,2,1,0,0,0,0,0,1,113652
121,118,1,2,0,0,0,0,0,0,80640
110,100,1,1,1,0,0,0,1,1,82092
230,203,4,4,1,1,1,1,1,1,216298
143,132,1,1,0,1,0,0,1,0,111090
183,173,2,1,0,1,0,1,0,2,163579
226,215,3,3,1,1,1,0,1,1,210203
265,255,4,3,1,1,1,0,1,0,200090
421,389,7,5,1,1,1,1,1,3,342979
151,142,3,3,0,1,0,0,1,1,119642
410,362,7,7,1,1,1,1,1,1,347023
117,110,1,1,0,0,0,0,0,0,73259
205,203,4,5,0,0,0,1,1,1,167198
216,214,3,3,0,0,1,0,1,2,163013
166,142,3,3,1,1,0,0,1,0,134523
304,268,5,4,1,1,1,1,1,0,264890
317,276,5,3,1,1,1,1,1,0,304197
128,112,1,1,0,0,0,0,0,0,85093
297,267,4,3,1,1,0,1,1,1,254980
251,239,5,5,1,1,1,0,1,1,216225
315,281,5,3,1,1,1,1,1,0,266922
154,149,3,2,0,0,0,1,1,1,135239
334,295,5,4,1,1,1,1,1,0,291314
301,295,4,2,1,1,1,1,0,0,211264
304,264,5,5,1,1,1,1,1,0,254959
229,196,4,4,1,1,1,1,1,0,213259
301,274,4,4,1,1,1,0,0,1,211332
183,160,3,1,0,0,1,0,0,2,169796
265,240,4,3,1,1,1,1,0,0,246977
287,245,5,4,1,1,1,1,1,0,230689
182,164,2,3,0,1,0,1,0,1,138128
150,148,1,2,0,0,0,0,0,0,90323
337,318,5,3,1,1,1,1,1,0,265508
235,223,4,4,1,1,1,0,1,1,191229
340,309,5,2,1,1,0,1,1,0,266217
230,211,4,4,1,1,1,1,0,0,182936
497,439,7,8,1,1,1,1,1,2,410150
360,359,5,5,1,1,1,1,1,1,285274
321,287,6,7,1,1,1,1,1,1,309603
256,245,4,4,1,1,1,1,1,1,226431
173,157,2,1,0,1,0,1,0,0,123955
294,292,4,5,1,0,1,1,1,1,240637
300,292,5,2,1,1,1,1,1,0,252552
256,243,4,4,1,1,1,1,0,0,221797
235,203,4,4,0,1,1,1,1,1,209576
165,146,3,3,1,0,1,0,0,2,124165
303,271,4,3,1,1,1,1,1,0,259452
169,156,2,2,1,1,0,0,0,0,108676
280,260,4,4,0,1,1,1,1,0,231117
263,247,4,3,1,1,1,1,1,1,246318
146,131,1,2,0,1,0,0,0,0,124949
211,186,3,2,1,1,0,0,0,1,152813
152,135,3,4,0,0,0,1,0,0,123624
137,131,1,2,0,0,0,0,0,0,106898
267,240,5,5,1,1,1,1,1,0,239957
175,164,3,4,0,0,1,0,0,2,117941
284,253,5,3,0,1,1,1,0,0,226460
124,123,1,1,0,0,0,0,0,0,84013
221,190,3,4,1,1,1,0,0,1,204873
216,202,4,4,1,1,0,1,1,1,192404
222,221,4,5,1,0,1,1,1,0,188729
215,212,4,3,1,1,0,1,0,0,159951
293,273,5,2,1,1,1,1,1,0,268572
161,143,2,1,0,0,1,0,0,1,125420
201,193,3,2,0,0,0,0,0,0,122177
318,279,5,3,1,1,1,0,1,0,255561
270,253,4,2,1,1,0,1,1,0,213956
247,236,5,4,0,1,1,1,1,0,204578
265,231,4,5,1,1,1,1,1,0,278178
253,250,4,5,0,1,1,1,1,0,208624
542,537,7,7,1,1,1,1,1,1,442963
123,123,1,1,1,0,0,0,0,1,97975
122,111,1,1,0,1,0,0,0,1,97123
200,195,3,4,0,0,1,0,1,2,158833
232,228,5,2,1,1,0,1,1,1,206522
229,206,3,2,1,0,0,0,0,2,158783
275,253,4,4,1,1,1,1,0,0,206450
276,271,5,2,1,1,1,1,1,1,238341
282,255,5,5,1,1,1,0,1,1,235811
301,290,5,3,1,1,1,1,1,0,271236
361,327,6,4,1,1,1,1,0,1,299391
213,191,4,5,1,1,1,1,1,0,188032
282,241,4,4,1,1,1,0,1,0,210328
238,229,5,3,1,1,1,1,1,1,214802
199,190,4,3,1,1,1,1,1,1,170845
462,431,7,7,1,1,1,1,1,3,397105
139,127,1,2,0,0,1,0,0,1,109765
113,102,1,2,0,1,0,0,0,0,79384
300,265,4,2,1,1,1,1,1,1,259138
150,145,1,2,1,0,0,0,1,0,115801
245,220,4,3,0,1,1,0,1,1,190805
190,167,3,1,0,1,0,1,0,2,187984
204,204,3,1,0,0,0,1,0,0,160866
229,222,4,2,1,1,1,1,0,2,180488
106,100,1,1,1,1,0,0,0,1,81292
305,287,6,4,1,1,1,1,1,1,279286
114,98,1,2,1,1,0,0,0,0,104317
302,291,5,3,1,1,1,1,1,1,253123
221,196,3,1,1,1,0,0,1,1,173442
327,300,5,4,1,1,1,1,1,1,282086
205,199,4,2,0,1,1,1,0,2,156838
244,222,4,3,1,1,1,1,0,1,215734
352,352,5,4,1,1,1,1,0,0,251200
465,422,7,4,1,1,1,1,1,1,389276
297,254,4,2,0,1,1,1,0,1,233764
123,109,1,2,1,0,0,0,0,0,81970
523,518,7,4,1,1,1,1,1,3,421836
341,296,5,3,1,1,1,0,1,1,269148
125,124,1,2,0,0,1,0,0,0,83615
119,114,1,2,1,0,0,0,1,1,86036
348,311,5,5,0,1,1,1,1,1,290403
282,272,5,4,1,1,1,1,1,0,231205
333,307,5,3,1,1,1,1,1,0,260258
220,215,3,1,0,0,0,0,0,2,134915
258,227,4,2,1,1,1,1,1,2,236815
273,242,5,3,1,1,1,1,1,0,236549
167,144,2,3,1,0,0,1,0,2,148513
200,200,3,4,1,0,0,0,0,2,143354
264,229,4,2,1,1,1,1,0,1,198294
106,95,1,2,1,1,0,0,0,1,92886
252,237,4,3,1,1,0,1,1,2,214352
198,193,4,2,1,0,1,0,1,2,168933
210,197,4,3,1,1,1,1,1,2,207116
140,126,1,1,0,0,0,0,0,1,108908
209,179,3,2,1,1,0,0,1,2,195636
275,246,4,5,1,1,1,1,1,2,275476
337,318,5,4,1,1,1,1,1,2,295851
547,501,7,8,1,1,1,1,1,0,436648
145,143,1,2,0,0,0,0,0,0,108924
281,255,4,3,1,1,1,1,0,2,216315
253,229,4,2,1,1,1,0,1,1,218512
541,469,7,8,1,1,1,1,1,2,452774
189,189,3,4,1,0,0,1,1,0,177270
174,160,2,3,1,1,0,1,0,1,144421
199,198,3,1,0,0,0,0,1,1,155102
238,219,4,4,1,1,0,1,1,2,224645
266,238,5,5,0,1,1,1,1,1,246371
305,275,4,5,1,1,1,0,0,1,235295
238,225,4,5,1,1,0,1,1,1,227194
351,321,5,3,1,1,1,1,0,1,267069
266,263,4,2,1,1,1,1,1,2,221181
222,222,4,5,1,1,0,1,0,1,177497
122,121,2,3,0,0,1,0,0,1,93031
239,226,5,3,1,1,1,1,1,2,219944
178,154,2,1,0,1,0,0,0,0,136680
199,172,4,3,1,1,0,1,1,2,173375
592,518,7,5,1,1,1,1,1,2,462464
210,205,4,4,1,1,1,1,1,1,183988
269,253,4,4,1,1,1,1,0,1,208448
293,275,5,3,1,1,1,1,1,1,255478
134,125,1,1,1,1,0,0,0,0,93962
310,268,4,2,1,1,0,1,1,1,268550
150,138,1,2,0,1,0,0,0,0,98954
303,271,6,4,1,1,1,1,1,1,271240
294,260,4,3,1,1,1,0,1,2,244117
313,286,5,3,1,1,1,0,0,2,217061
211,188,3,3,0,1,0,1,0,1,174751
345,342,5,5,1,1,1,1,1,1,270050
555,545,7,5,1,1,1,1,1,2,465474
306,279,5,2,1,1,1,1,1,2,275227
258,253,4,2,1,1,0,1,1,2,216373
228,197,4,3,1,1,1,1,1,2,213272
324,293,5,2,1,1,1,1,1,1,280921
277,274,5,5,1,0,1,1,1,1,223126
134,127,2,3,0,1,1,0,0,1,100626
338,315,6,5,1,1,1,1,1,0,284950
274,235,4,2,1,1,1,1,0,2,257636
217,216,4,3,1,1,0,0,1,1,199060
279,260,4,3,1,1,0,1,1,1,228505
139,127,1,2,0,0,0,0,1,0,99448
221,211,4,3,1,1,1,1,1,1,209507
196,189,4,4,1,1,1,1,1,1,181160
293,254,5,5,1,1,0,0,1,2,244179
246,221,4,3,1,1,1,1,1,2,229984
152,151,3,2,0,0,1,0,1,0,114839
201,180,4,5,1,1,1,1,1,1,182184
102,91,1,2,0,1,0,0,0,0,68794
404,365,6,4,1,1,1,1,1,0,318141
190,179,3,3,1,1,1,0,1,1,148956
584,509,7,6,1,1,1,1,1,3,478267
240,230,3,3,1,1,1,0,0,0,176495
301,287,4,3,1,1,1,1,1,1,249095
250,230,5,4,1,1,1,1,1,2,229479
229,195,4,4,1,1,1,1,1,1,210232
110,99,1,1,0,0,1,0,0,0,68727
181,161,2,3,1,1,0,1,1,1,161613
542,505,7,4,1,1,1,1,1,2,431018
157,145,3,2,0,1,0,0,1,2,124535
289,269,5,3,1,1,1,1,1,2,241591
117,104,1,1,1,0,0,0,1,0,82579
307,301,4,4,1,1,0,1,1,2,275159
297,268,4,4,1,1,0,1,1,1,267067
333,289,5,4,1,1,1,0,1,2,294463
692,593,8,9,1,1,1,1,1,3,560537
294,267,4,3,1,1,1,0,0,1,233537
120,111,1,1,1,1,0,0,0,1,88804
337,303,5,4,1,1,1,1,1,1,274690
285,243,5,2,1,1,0,0,0,1,209426
221,211,4,4,1,1,1,1,0,2,185603
357,356,5,5,1,1,1,1,0,2,285419
304,264,5,5,1,1,0,1,1,2,252010
200,180,4,5,1,1,1,1,1,1,208555
344,297,6,5,1,1,1,1,1,1,287482
114,99,1,2,0,1,0,0,1,1,103316
741,692,8,6,1,1,1,1,1,2,655691
233,218,4,4,1,1,1,1,1,1,215876
124,121,1,1,1,0,0,0,0,1,89499
185,163,2,3,0,0,1,0,0,1,151323
448,383,6,4,1,1,1,1,1,1,366821
234,223,3,1,1,1,0,0,0,1,171403
276,248,4,2,1,1,1,0,1,1,196513
310,305,4,2,1,1,1,1,1,1,270816
311,270,5,4,1,1,1,0,1,1,254909
406,371,6,5,1,1,1,1,0,0,283861
368,334,6,6,1,1,1,1,1,0,296196
218,188,3,4,1,1,0,1,1,1,189434
232,214,3,3,1,1,0,1,1,0,184273
356,329,5,2,1,1,1,1,1,2,314239
276,250,5,4,1,1,1,1,1,2,241318
262,226,5,5,1,1,1,1,1,2,241104
244,220,4,4,1,1,1,1,1,1,212110
308,290,5,3,1,1,1,1,1,1,251576
305,276,4,5,1,1,0,1,0,1,234218
236,235,5,2,1,1,1,1,0,2,212364
190,165,4,3,1,1,1,1,1,1,184878
243,214,4,3,1,1,0,1,1,1,203764
142,137,1,1,0,0,0,0,0,1,87866
192,174,3,2,1,1,0,1,1,1,157987
219,190,4,4,0,1,1,0,1,1,180505
137,124,1,2,1,1,0,0,0,1,97284
359,313,5,2,1,1,1,1,1,2,316883
111,110,1,2,1,0,0,0,0,1,74014
239,220,3,3,0,1,0,1,0,1,174963
353,338,6,5,1,1,1,1,1,1,340801
260,241,5,4,0,1,1,1,1,1,231096
503,438,7,5,1,1,1,1,1,2,430523
254,244,5,4,1,1,1,1,1,1,220982
245,219,5,4,1,1,1,1,1,2,243797
336,299,5,4,1,1,1,1,1,1,275366
209,182,3,4,1,1,1,0,1,2,204144
289,250,5,5,1,1,1,0,1,2,251029
412,380,6,6,1,1,1,1,1,1,336692
426,413,6,7,1,1,1,1,1,1,349184
163,162,2,1,0,0,0,0,0,2,109854
269,243,4,2,1,1,1,1,1,1,237447
230,224,3,1,1,0,1,0,0,2,170800
